id,cue,t_start,t_end,duration_sec,spoken,visual_mode,text_graphic_type,text_graphic_text,text_graphic_style,artifact_object,artifact_story_link,artifact_preference,editorial_intent,people,situation,date_from,date_to,location,search_queries,avoid,media_type,reuse_id,priority,status
m001,1,0.43,7.87,7.44,"Ladies and gentlemen of the jury, I'm gonna make a slightly controversial case here about the most beloved AC DC album in history.",historical,,,,,,,Rhetorical 'jury' — do NOT show a courtroom. Open on AC/DC at cultural peak (late 70s live) or 1980 press moment.,AC/DC|band,AC/DC live concert performance crowd and stage,1978,1980,,AC/DC live 1979 concert | AC/DC Highway to Hell tour 1979 stage | AC/DC audience 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m002,2,8.27,11.99,3.72,"Some of you are probably gonna think I'm crazy, or just wrong on the facts.",artifact,,,,vinyl record on turntable,Rock album culture,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vinyl record on turntable,1975,1985,,vinyl record spinning turntable 1970s | LP record needle drop,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m003,3,12.59,15.45,2.86,"Fine, doesn't matter. Sit down, hear me out.",historical,,,,,,,"Pacing line — band in studio context, not furniture.",AC/DC|band,AC/DC entering recording studio or group walking corridor 1980,1980,1980,Bahamas,AC/DC Compass Point Studios 1980 | AC/DC recording studio 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m004,4,15.89,19.23,3.34,I think there's something happening here that nobody's really talking about.,historical,,,,,,,Hidden story beat — contemporary news coverage of Bon Scott death.,Bon Scott|vocalist,Newspaper headlines reporting Bon Scott death February 1980,1980-02,1980-03,United Kingdom / Australia,Bon Scott death newspaper February 1980 | Bon Scott obituary 1980 | AC/DC Bon Scott dies headline 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m005,5,19.87,20.47,0.6,Here goes.,artifact,,,,reel-to-reel tape machine,Transition sting — analog recording era,photo,Artifact: tape machine macro — no faces; optional brief text overlay in edit.,,Inanimate: reel-to-reel tape machine,1975,1985,,reel to reel tape recorder studio 1970s | analog multitrack tape machine close up,people faces prominent | stock explainer | unrelated product,photo,,medium,artifact
m006,6,21.37,23.55,2.18,Bond Scott wrote the lyrics on Back in Black.,historical,,,,,,,"Core thesis — Bon Scott portrait or live, era-accurate.",Bon Scott|vocalist,Bon Scott performing live with microphone 1978-1979,1978,1979,,Bon Scott AC/DC live 1979 | Bon Scott microphone on stage 1978 | Bon Scott concert 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m007,7,24.35,27.33,2.98,"There, I said it. Yeah, that's the whole thing.",historical,,,,,,,"Back in Black era — press or live, avoid trademark album cover art if possible.",AC/DC|band; Bon Scott|vocalist,AC/DC Back in Black release period press photo or live 1980,1980,1980,,AC/DC Back in Black 1980 press photo | AC/DC 1980 promotional photograph,album cover scan | courtroom | office chair,photo,,high,needed
m008,8,27.33,30.49,3.16,Pretty much. It's actually so obvious.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m009,9,31.21,33.39,2.18,Let's look at the facts. It's 1980.,historical,,,,,,,Year anchor — period news or studio dated 1980.,AC/DC|band,1980 music press or studio session dated 1980,1980,1980,,AC/DC 1980 studio | music magazine 1980 rock,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m010,10,33.85,35.67,1.82,The man has been dead for five months.,historical,,,,,,,"Bon Scott death — memorial, funeral, or documented public mourning.",Bon Scott|vocalist,Bon Scott funeral or public memorial February 1980 Australia,1980-02,1980-02,"Fremantle, Western Australia",Bon Scott funeral February 1980 | Bon Scott memorial Fremantle 1980 | Bon Scott death 1980 Australia,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m011,11,36.37,36.77,0.4,Five.,artifact,,,,audio cassette tape,Pre-digital era,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: audio cassette tape,1975,1985,,cassette tape vintage 1980 | audio cassette close up,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m012,12,37.57,42.53,4.96,"And his band, his grief-stricken shell-shocked, everybody expected them to fold band,",historical,,,,,,,Band after Bon — Brian Johnson era begins; group in studio 1980.,AC/DC|band; Brian Johnson|vocalist,AC/DC with Brian Johnson recording Back in Black 1980,1980,1980,"Nassau, Bahamas",AC/DC Brian Johnson studio 1980 | AC/DC Compass Point Studios Brian Johnson 1980 | Brian Johnson AC/DC recording 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
